timestampString;value;temperature;Fault
2016-Feb-03 13:30:00;7.99;51.5;0
2016-Feb-03 13:40:00;7.99;51.67;0
2016-Feb-03 13:50:00;7.99;51;0
2016-Feb-03 14:00:00;8.49;3590.75;0
2016-Feb-03 14:10:00;8.49;4644;0
2016-Feb-03 14:20:00;7.97;5407.8;1
2016-Feb-03 14:30:00;6.92;5815.25;1
2016-Feb-03 14:40:00;5.88;5995;1
2016-Feb-03 14:50:00;6.4;6103.5;1
2016-Feb-03 15:00:00;6.9;6294.67;1
2016-Feb-03 15:10:00;6.9;6441;1
2016-Feb-03 15:20:00;6.9;6282;1
2016-Feb-03 15:30:00;6.9;6323;1
2016-Feb-03 15:40:00;6.9;6238;1
2016-Feb-03 15:50:00;6.9;6156;1
2016-Feb-03 16:00:00;6.9;6238;1
2016-Feb-03 16:10:00;6.9;6311;1
2016-Feb-03 16:20:00;6.9;6311;1
2016-Feb-03 16:30:00;6.9;6346;1
2016-Feb-03 16:40:00;6.9;6425;1
2016-Feb-03 16:50:00;6.66;6542;1
2016-Feb-03 17:00:00;6.66;6542;1
2016-Feb-03 17:10:00;6.41;6659;1
2016-Feb-03 17:20:00;5.91;45;0
2016-Feb-03 17:30:00;5.91;52.5;0
2016-Feb-03 17:40:00;5.91;52.5;0
2016-Feb-03 17:50:00;5.91;3225.33;0
2016-Feb-03 18:00:00;5.91;4502;0
2016-Feb-03 18:10:00;5.91;1195;0
2016-Feb-03 18:20:00;5.91;1195;0
2016-Feb-03 18:30:00;5.91;2997.8;0
2016-Feb-03 18:40:00;5.91;5693.78;1
2016-Feb-03 18:50:00;5.91;6337.17;1
2016-Feb-03 19:00:00;5.91;3388.25;0
2016-Feb-03 19:10:00;5.91;52;0
2016-Feb-03 19:20:00;5.91;52;0
2016-Feb-03 19:30:00;5.91;3753.6;0
2016-Feb-03 19:40:00;5.91;3108.67;0
2016-Feb-03 19:50:00;5.91;51;0
2016-Feb-03 20:00:00;5.91;51;0
2016-Feb-03 20:10:00;5.91;52;0
