timestampString;value;temperature
2016-Feb-11 09:10:00;17.33;1.59
2016-Feb-11 09:20:00;17.33;1.59
2016-Feb-11 09:30:00;44;2.11
2016-Feb-11 09:40:00;4368.4;2.61
2016-Feb-11 09:50:00;4392;3.11
2016-Feb-11 10:00:00;4451;3.61
2016-Feb-11 10:10:00;4451;3.61
2016-Feb-11 10:20:00;4506;4.12
2016-Feb-11 10:30:00;4506;4.62
2016-Feb-11 10:40:00;238;5.12
2016-Feb-11 10:50:00;238;5.9
2016-Feb-11 11:00:00;17;5.9
2016-Feb-11 11:10:00;17;6.66
2016-Feb-11 11:20:00;4270;6.66
2016-Feb-11 11:30:00;4495;6.66
2016-Feb-11 11:40:00;4541;6.66
2016-Feb-11 11:50:00;4592;6.66
2016-Feb-11 12:00:00;19;6.66
2016-Feb-11 12:10:00;17;6.66
2016-Feb-11 12:20:00;17;6.66
2016-Feb-11 12:30:00;17;6.66
2016-Feb-11 12:40:00;4053.6;6.66
2016-Feb-11 12:50:00;4437;7.16
2016-Feb-11 13:00:00;4513;7.16
2016-Feb-11 13:10:00;169.5;7.16
2016-Feb-11 13:20:00;18;7.16
2016-Feb-11 13:30:00;17.33;7.16
2016-Feb-11 13:40:00;17.5;7.16
2016-Feb-11 13:50:00;1454.83;7.42
2016-Feb-11 14:00:00;4387.5;7.42
2016-Feb-11 14:10:00;4495;7.67
2016-Feb-11 14:20:00;4495;7.67
2016-Feb-11 14:30:00;18.33;8.18
2016-Feb-11 14:40:00;17.33;8.69
2016-Feb-11 14:50:00;17.5;8.69
2016-Feb-11 15:00:00;1514.33;9.23
2016-Feb-11 15:10:00;4370.67;9.76
2016-Feb-11 15:20:00;4486;9.25
2016-Feb-11 15:30:00;2278;8.72
2016-Feb-11 15:40:00;17;8.21
2016-Feb-11 15:50:00;18;8.21
2016-Feb-11 16:00:00;18;7.47
2016-Feb-11 16:10:00;18;7.47
2016-Feb-11 16:20:00;3231.25;7.22
2016-Feb-11 16:30:00;4427;7.22
2016-Feb-11 16:40:00;4481;6.96
2016-Feb-11 16:50:00;1225.25;6.18
2016-Feb-11 17:00:00;17.5;5.69
2016-Feb-11 17:10:00;17.67;5.69
2016-Feb-11 17:20:00;17.67;5.18
2016-Feb-11 17:30:00;1881.29;4.66
2016-Feb-11 17:40:00;4394;4.15
2016-Feb-11 17:50:00;4473;4.15
2016-Feb-11 18:00:00;4554;4.15
2016-Feb-11 18:10:00;187;4.15
2016-Feb-11 18:20:00;17;4.15
2016-Feb-11 18:30:00;17;3.9
2016-Feb-11 18:40:00;3526.4;3.16
2016-Feb-11 18:50:00;3526.4;3.16
2016-Feb-11 19:00:00;4478;3.16
2016-Feb-11 19:10:00;4543;3.66
2016-Feb-11 19:20:00;165.5;3.66
2016-Feb-11 19:30:00;17.5;3.66
2016-Feb-11 19:40:00;17.5;3.66
2016-Feb-11 19:50:00;1203.14;3.66
2016-Feb-11 20:00:00;4354;3.66
2016-Feb-11 20:10:00;4469;3.66
2016-Feb-11 20:20:00;4544;3.66
2016-Feb-11 20:30:00;4544;3.66
2016-Feb-11 20:40:00;17;3.66
2016-Feb-11 20:50:00;17;3.66
2016-Feb-11 21:00:00;16.5;3.66
2016-Feb-11 21:10:00;3330.5;3.14
2016-Feb-11 21:20:00;4467;2.62
2016-Feb-11 21:30:00;4524;2.12
2016-Feb-11 21:40:00;4573;1.62
2016-Feb-11 21:50:00;117;1.62
2016-Feb-11 22:00:00;17.5;1.37
2016-Feb-11 22:10:00;17.5;1.37
2016-Feb-11 22:20:00;4225.5;1.12
